item,ave_score,ave_discounted_score
1,3.8850415808934358,3.842041580893436
3,3.334295595184782,3.3238955951847795
6,3.957701745520385,3.9373017455203825
47,3.951669240717942,3.9110692407179433
50,4.198591367511456,4.157791367511463
70,3.563647457280109,3.5526474572801114
101,3.7663532898913323,3.7617532898913253
110,3.974760866279694,3.927360866279693
151,3.588465099459885,3.579665099459885
157,3.109660989105867,3.1074609891058675
163,3.5912844620129363,3.5780844620129315
216,3.408458645155139,3.3986586451551344
223,3.8846608814109667,3.8638608814109716
231,3.1154629937661156,3.0888629937661185
235,3.690614521886403,3.6766145218864033
260,4.103958148779354,4.053758148779357
296,3.9333750346986527,3.8719750346986537
316,3.409645066430233,3.381645066430234
333,3.818064842010453,3.8080648420104524
349,3.654588426206691,3.6325884262066954
356,3.3899790918484047,3.3241790918483978
362,3.6028314321060204,3.5960314321060234
367,3.228238719232008,3.1968387192320082
423,3.119410706458753,3.1174107064587546
441,3.9086564312501353,3.900256431250133
457,3.990962343582326,3.952962343582324
480,3.681192534552665,3.6335925345526587
500,3.4284792955311407,3.3996792955311426
527,4.156001220935859,4.112001220935868
543,3.377646878281651,3.369446878281652
552,3.3393054610262567,3.3271054610262585
553,3.8400016868959117,3.8270016868959136
590,3.8469306308411553,3.814130630841155
592,3.4400871180332913,3.4022871180332848
593,3.9764070779580885,3.920607077958087
596,3.4859991247671287,3.4739991247671274
608,4.09711238197913,4.0609123819791275
648,3.5832116564372063,3.550811656437206
661,3.481175993063019,3.4713759930630292
673,2.838212618812224,2.8276126188122284
733,3.6811835109669744,3.6569835109669815
736,3.38941167159015,3.3648116715901457
780,3.4663137137027036,3.425913713702701
804,3.402077955349064,3.400477955349066
919,3.904068103754566,3.885668103754563
923,4.027196775301438,4.013396775301441
940,3.8486638091545724,3.8470638091545686
943,3.777937208604738,3.7765372086047426
954,3.989271355790213,3.985671355790215
1009,3.2738930321906516,3.2720930321906536
1023,3.6246982428711116,3.6220982428711097
1024,3.6463714244000265,3.645171424400028
1025,3.6079847407212897,3.6029847407212885
1029,3.445056789714008,3.4380567897140124
1030,3.0035331370441596,3.0005331370441617
1031,3.528164241218604,3.523364241218606
1032,3.4248148990704483,3.416814899070444
1042,3.3619598757571447,3.3535598757571456
1049,3.5485395238894504,3.544339523889445
1060,3.7172802411641905,3.7100802411641913
1073,3.8826195437035906,3.8588195437035977
1080,3.925979337058231,3.9081793370582285
1089,4.20098700641626,4.17478700641626
1090,3.969398159147952,3.956798159147952
1092,3.2635040839573572,3.254104083957358
1097,3.782804714642099,3.758404714642103
1127,3.516416275749427,3.5040162757494286
1136,4.1496393293823575,4.122439329382352
1196,4.162155434541409,4.119955434541415
1197,4.22640861918143,4.198008619181441
1198,4.1724707035367645,4.13247070353675
1206,4.007409924402475,3.9834099244024728
1208,4.202547799999958,4.181147799999948
1210,4.119208146141936,4.080008146141934
1213,4.250152311232538,4.224952311232544
1214,3.9718481745113356,3.942648174511337
1219,4.033964961532699,4.017364961532702
1220,3.8249387153782655,3.8081387153782624
1222,4.111613769476724,4.091213769476723
1224,3.9454120557061056,3.941612055706105
1226,3.543314107122993,3.5421141071229947
1240,3.91039135477176,3.8841913547717675
1256,3.77611458493794,3.77151458493794
1258,4.100437517482344,4.07863751748236
1265,3.9444374327998393,3.9158374327998375
1270,4.028290800363168,3.994090800363164
1275,3.7510606524974826,3.741460652497484
1278,3.996682442266203,3.9828824422661984
1282,3.789427931517546,3.7788279315175526
1291,4.0502008572256,4.022200857225603
1298,3.7638818196202823,3.759281819620285
1348,3.562923518615728,3.559723518615724
1377,3.105666175694524,3.0936661756945263
1396,3.5237046754996926,3.514504675499693
1408,3.822192021378405,3.81439202137841
1445,2.771260990215854,2.7698609902158493
1473,3.624358753918069,3.624158753918062
1500,3.6543011495526905,3.642501149552699
1517,3.568026973729306,3.548026973729304
1552,3.127917831046099,3.1161178310460995
1573,3.425166996004554,3.409766996004555
1580,3.513036178271627,3.4800361782716305
1587,3.321606907653266,3.31540690765327
1617,4.060355403479131,4.040955403479133
1620,3.285197857631619,3.282597857631624
1625,3.7532597944744244,3.7378597944744225
1644,2.352817006733408,2.3464170067334065
1676,3.3934524429261965,3.3774524429262
1732,3.918290494098959,3.897090494098965
1777,3.477952232032909,3.4667522320329116
1793,3.6850967220620316,3.6846967220620312
1804,3.3954088005096703,3.394808800509672
1805,3.140176612822001,3.133976612822006
1920,3.0130811500151156,3.0094811500151137
1927,4.110023223133722,4.10802322313373
1954,3.8333964501850253,3.820596450185025
1967,3.8088297533273034,3.800429753327297
2000,3.70985787262764,3.6948578726276313
2005,3.59476852985191,3.5833685298519167
2012,3.4265519295586504,3.408951929558652
2018,3.4251841138956425,3.4175841138956486
2028,4.143548254368324,4.105948254368326
2033,3.701463241454333,3.6998632414543335
2046,3.3076470411108296,3.302847041110836
2048,3.5934728551449693,3.5918728551449686
2054,2.847137737658626,2.8335377376586255
2058,3.421904743744499,3.415904743744503
2078,3.850837634938084,3.8402376349380813
2090,3.32455230083752,3.321952300837518
2093,3.2628260179070105,3.2616260179070142
2094,3.33526880037909,3.3274688003790858
2096,3.4767144161736536,3.4723144161736554
2099,3.4994323390403,3.498232339040298
2105,3.3890393697782923,3.3790393697782926
2115,3.6675377411390633,3.645937741139064
2116,3.29034815145745,3.2873481514574507
2137,3.578546282463381,3.574346282463384
2139,3.5120373171218957,3.5078373171218944
2141,3.289297501811719,3.285697501811717
2143,3.240331762330613,3.237731762330615
2161,3.6188341632692427,3.6102341632692445
2174,3.497647082649837,3.4794470826498367
2193,3.367117069652201,3.359117069652202
2253,2.650586754028054,2.6465867540280503
2268,3.8201100634880887,3.80871006348809
2273,3.346851368155555,3.3384513681555585
2291,3.727859224144756,3.7118592241447503
2329,4.226345263768901,4.200545263768905
2338,2.44274937437001,2.4391493743700043
2353,3.556713937410192,3.5433139374101934
2366,3.629625153137372,3.6246251531373668
2387,3.5086838543894405,3.5054838543894475
2389,2.506779394860061,2.504979394860059
2395,3.55914275865858,3.5479427586585732
2406,3.5037399414123414,3.4929399414123448
2414,3.439925131126351,3.4377251311263475
2427,3.3618429239409817,3.3548429239409785
2450,2.5525479946546383,2.549347994654641
2459,3.4096978348424587,3.4070978348424568
2470,3.229819750125918,3.2184197501259173
2478,3.258916523043301,3.2537165230433027
2492,3.2542544037152097,3.252854403715207
2502,4.097326259190379,4.078526259190362
2528,3.3299258622884964,3.325125862288494
2529,3.8110186095575203,3.799818609557519
2542,4.056425561551882,4.043025561551891
2571,4.050155798379366,3.9945557983793614
2580,3.971363815639616,3.963563815639619
2596,3.7511074908116973,3.748707490811703
2616,3.031566913459251,3.0263669134592495
2617,3.192193212682062,3.1747932126820646
2628,3.159453858638957,3.1314538586389586
2640,3.6398648870972927,3.6276648870972914
2641,3.098662988000924,3.08886298800093
2644,3.4444476120895486,3.4426476120895506
2648,3.801049185457456,3.7988491854574535
2654,3.604953748445086,3.603953748445091
2657,3.390104560612769,3.3775045606127696
2692,4.0060410927430645,3.9910410927430653
2700,3.859564307219664,3.8443643072196685
2716,3.781106053218899,3.757106053218902
2761,4.027914333958232,4.020114333958231
2797,3.7358620134491614,3.7176620134491585
2826,3.070241883884231,3.0650418838842364
2858,4.01757969492916,3.9767796949291676
2872,3.648969774855002,3.6439697748550106
2899,3.3656105962766127,3.3650105962766164
2916,3.682502721838077,3.664902721838074
2944,3.938862446891807,3.9324624468918143
2947,3.855503982883829,3.844903982883832
2948,3.756608422421694,3.7494084224216913
2949,3.733285327145073,3.7266853271450695
2959,4.215345038796793,4.171745038796796
2985,3.4140634563107524,3.400063456310752
2987,3.6003585999463317,3.5809585999463334
2991,3.7150985788287554,3.7104985788287537
2993,3.5337762841895644,3.5289762841895684
2997,3.9668858457028207,3.9470858457028237
3033,3.5263340955458724,3.514534095545868
3034,3.5495831091745704,3.54238310917457
3052,3.679774681547743,3.663974681547747
3053,3.836556182252481,3.8343561822524808
3062,3.8707671227492675,3.8685671227492615
3147,4.171645305686961,4.149445305686959
3168,3.605194542503131,3.5993945425031297
3176,3.4106890725518646,3.4008890725518666
3243,2.721092744572583,2.7180927445725764
3247,3.143758345920789,3.1365583459207893
3253,3.527747665349406,3.515547665349404
3273,2.8627603707464684,2.856960370746461
3386,3.5471758642485547,3.54097586424856
3439,2.9501364728558306,2.947536472855829
3440,2.5029108126428325,2.500110812642829
3441,3.5039630017472345,3.5011630017472397
3448,3.821557620945781,3.81295762094578
3450,3.3624273758989736,3.356627375898973
3479,3.4102956104394,3.4066956104393955
3489,3.424668470155955,3.4140684701559563
3527,3.6191377622688825,3.6069377622688816
3578,3.951645288584767,3.917645288584772
3617,3.1811151446599713,3.1729151446599686
3639,3.632367103160255,3.628767103160257
3671,3.940981792478884,3.9285817924788806
3702,3.5354906118669636,3.527890611866966
3703,4.016184211041583,4.008184211041593
3729,3.7493677474156493,3.7487677474156516
3740,3.8287891941000995,3.8231891941001024
